"ID" "주민번호" "직종" "가입통신사" "통화료"
"1" "2009SP001" "720521-1******" "컨설팅/솔루션             " "KTF            " 30000
"2" "2009SP002" "800310-2******" "금융                      " "SK 텔레콤      " 50000
"3" "2009SP003" "810626-2******" "금융                      " "SK 텔레콤      " 23000
"4" "2009SP004" "781007-1******" "기타                      " "SK 텔레콤      " 50000
"5" "2009SP005" "771117-2******" "기타                      " "LG 텔레콤      " 80000
"6" "2009SP006" "800713-2******" "컨설팅/솔루션             " "SK 텔레콤      " 55000
"7" "2009SP007" "751211-2******" "컨설팅/솔루션             " "SK  텔레콤     " 40000
"8" "2009SP008" "810628-2******" "컨설팅/솔루션             " "SK 텔레콤      " 60000
"9" "2009SP009" "801201-1******" "컨설팅/솔루션             " "SK 텔레콤      " 25000
"10" "2009SP010" "770404-2******" "컨설팅/솔루션             " "SK 텔레콤      " 28000
"11" "2009SP011" "730619-1******" "컨설팅/솔루션             " "SK 텔레콤      " 40000
"12" "2009SP012" "580708-1******" "닷컴                      " "LG  텔레콤     " 35000
"13" "2009SP013" "790113-1******" "컨설팅/솔루션             " "SK 텔레콤      " 50000
"14" "2009SP014" "771018-1******" "컨설팅/솔루션             " "SK 텔레콤      " 60000
"15" "2009SP015" "800105-2******" "컨설팅/솔루션             " " SK 텔레콤     " 40000
"16" "2009SP016" "791208-2******" "컨설팅/솔루션             " "SK 텔레콤      " 65000
"17" "2009SP017" "730403-2******" "컨설팅/솔루션             " "SK 텔레콤      " 20000
"18" "2009SP018" "770114-1******" "컨설팅/솔루션             " "SK 텔레콤      " 45000
"19" "2009SP019" "800914-2******" "컨설팅/솔루션             " "KTF            " 35000
"20" "2009SP020" "800924-2******" "금융                      " "KTF            " 50000
"21" "2009SP021" "770703-2******" "공공기관                  " "SK  텔레콤     " 45000
"22" "2009SP022" "820302-2******" "컨설팅/솔루션             " "KTF            " 25000
"23" "2009SP023" "731122-2******" "컨설팅/솔루션             " "KTF            " 30000
"24" "2009SP024" "820209-2******" "컨설팅/솔루션             " "KTF            " 38000
"25" "2009SP025" "791227-1******" "제조                      " "SK 텔레 콤     " 40000
"26" "2009SP026" "810226-2******" "제조                      " "KTF            " 36000
"27" "2009SP027" "810210-1******" "교육기관(학생포함)        " "SK 텔레콤      " 50000
"28" "2009SP028" "810331-2******" "기타                      " "KTF            " 50000
"29" "2009SP029" "760105-1******" "교육기관(학생포함)        " "LG 텔레콤      " 50000
"30" "2009SP030" "790926-1******" "교육기관(학생포함)        " "K T F          " 30000
"31" "2009SP031" "810927-2******" "기타                      " "SK 텔레콤      " 75000
"32" "2009SP032" "741023-2******" "교육기관(학생포함)        " "LG 텔레콤      " 43000
"33" "2009SP033" "770909-1******" "기타                      " "SK 텔레콤      " 120000
"34" "2009SP034" "640627-1******" "교육기관(학생포함)        " "KTF            " 25000
"35" "2009SP035" "770915-1******" "제조                      " "SK 텔레콤      " 30000
"36" "2009SP036" "811026-2******" "금융                      " "KTF            " 33000
"37" "2009SP037" "830926-2******" "교육기관(학생포함)        " "SK 텔레콤      " 20000
